norm_region,축제수,다국어가이드수,세계음식점수
세종 대평3길,0.0,1.0,0.0
세종 도움3로,0.0,0.0,1.0
세종 도움8로,0.0,0.0,2.0
세종 마음로,0.0,0.0,2.0
세종 만남로,0.0,1.0,1.0
세종 문화길,0.0,0.0,1.0
세종 보듬3로,0.0,0.0,1.0
세종 보듬4로,0.0,0.0,1.0
세종 부강로,0.0,0.0,2.0
세종 새내로,0.0,0.0,1.0
세종 새롬서로,0.0,1.0,0.0
세종 새롬중앙로,0.0,0.0,2.0
세종 섭골길,0.0,0.0,1.0
세종 세종동,0.0,6.0,0.0
세종 소정면,0.0,1.0,0.0
세종 수목원로,0.0,1.0,0.0
세종 시청대로,0.0,0.0,3.0
세종 아름서1길,0.0,0.0,2.0
세종 아름서길,0.0,0.0,1.0
세종 어울누리로,0.0,1.0,0.0
세종 연동면,0.0,2.0,0.0
세종 연서면,0.0,2.0,0.0
세종 원마루길,0.0,0.0,1.0
세종 전동면,0.0,2.0,0.0
세종 전의면,0.0,3.0,0.0
세종 절재로,0.0,0.0,2.0
세종 조치원읍,0.0,4.0,0.0
세종 한누리대로,0.0,0.0,8.0
세종 한솔동로,0.0,1.0,0.0
세종 해밀동,0.0,1.0,0.0
세종 행복12길,0.0,0.0,1.0
세종 행복7길,0.0,0.0,1.0
세종 호려울로,0.0,0.0,1.0
세종시 null,2.0,0.0,0.0
세종시 조치원읍,1.0,0.0,0.0
울산 남구,0.0,28.0,86.0
울산 동구,0.0,19.0,19.0
울산 북구,0.0,17.0,11.0
울산 울주군,0.0,47.0,18.0
울산 중구,0.0,22.0,26.0
울산시 남구,7.0,0.0,0.0
울산시 동구,5.0,0.0,0.0
울산시 북구,4.0,0.0,0.0
울산시 울주군,5.0,0.0,0.0
울산시 중구,5.0,0.0,0.0
인천 강화군,0.0,56.0,5.0
인천 계양구,0.0,14.0,32.0
인천 남동구,0.0,18.0,74.0
인천 동구,0.0,7.0,4.0
인천 미추홀구,0.0,29.0,35.0
인천 부평구,0.0,12.0,74.0
인천 서구,0.0,19.0,68.0
인천 연수구,0.0,31.0,146.0
인천 옹진군,0.0,64.0,1.0
인천 중구,0.0,62.0,73.0
인천시 null,2.0,0.0,0.0
인천시 강화군,3.0,0.0,0.0
인천시 남구,5.0,0.0,0.0
인천시 남동구,4.0,0.0,0.0
인천시 동구,1.0,0.0,0.0
인천시 부평구,2.0,0.0,0.0
인천시 서구,6.0,0.0,0.0
인천시 연수구,7.0,0.0,0.0
인천시 중구,8.0,0.0,0.0
전남 강진군,3.0,22.0,0.0
전남 고흥군,2.0,47.0,3.0
전남 곡성군,4.0,25.0,2.0
전남 광양시,5.0,28.0,11.0
전남 구례군,5.0,28.0,3.0
전남 나주시,1.0,31.0,10.0
전남 담양군,2.0,31.0,3.0
전남 목포시,6.0,34.0,17.0
전남 무안군,2.0,28.0,5.0
전남 보성군,1.0,25.0,1.0
전남 순천시,2.0,49.0,27.0
전남 신안군,1.0,72.0,0.0
전남 여수시,5.0,80.0,19.0
전남 영광군,3.0,17.0,0.0
전남 영암군,4.0,36.0,6.0
전남 완도군,4.0,51.0,0.0
전남 장성군,2.0,17.0,0.0
전남 장흥군,4.0,30.0,0.0
전남 진도군,3.0,39.0,1.0
전남 함평군,4.0,21.0,1.0
전남 해남군,3.0,39.0,0.0
전남 화순군,1.0,27.0,2.0
전북 고창군,9.0,22.0,4.0
전북 군산시,6.0,41.0,25.0
전북 김제시,5.0,23.0,3.0
전북 남원시,11.0,36.0,2.0
전북 무주군,2.0,21.0,1.0
전북 부안군,2.0,26.0,0.0
전북 순창군,4.0,16.0,1.0
전북 완주군,3.0,32.0,8.0
전북 익산시,4.0,34.0,18.0
전북 임실군,8.0,15.0,3.0
전북 장수군,2.0,8.0,1.0
전북 전주시,11.0,220.0,88.0
전북 정읍시,8.0,26.0,8.0
전북 진안군,1.0,12.0,1.0
제주 null,1.0,0.0,0.0
제주 서귀포시,21.0,190.0,122.0
제주 제주시,28.0,220.0,161.0
충남 null,1.0,0.0,0.0
충남 계룡시,3.0,4.0,2.0
충남 공주시,1.0,54.0,7.0
충남 금산군,9.0,34.0,5.0
충남 논산시,6.0,28.0,8.0
충남 당진시,3.0,35.0,13.0
충남 보령시,12.0,40.0,4.0
충남 부여군,3.0,32.0,4.0
충남 서산시,15.0,19.0,11.0
충남 서천군,11.0,41.0,0.0
충남 아산시,1.0,39.0,46.0
충남 예산군,3.0,28.0,1.0
충남 천안시,5.0,69.0,102.0
충남 청양군,7.0,19.0,0.0
충남 태안군,14.0,59.0,3.0
충남 홍성군,3.0,24.0,12.0
충북 null,1.0,0.0,0.0
충북 괴산군,2.0,23.0,0.0
충북 단양군,3.0,33.0,2.0
충북 보은군,0.0,21.0,0.0
충북 영동군,9.0,19.0,2.0
충북 옥천군,5.0,21.0,1.0
충북 음성군,4.0,21.0,14.0
충북 제천시,4.0,42.0,11.0
충북 증평군,4.0,9.0,9.0
충북 진천군,3.0,22.0,13.0
충북 청원군,1.0,0.0,0.0
충북 청주시,8.0,100.0,111.0
충북 충주시,13.0,59.0,30.0
